wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
A0	F5	1000.0	0.9	14.918	14.269	13.336	12.888	14.673	14.375	13.164	12.503	1.534	-0.138	-	0.227	
F5	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.673	14.375	13.164	12.503	1.534	-0.138	-	0.227	
A0	F0	900.0	1.0	14.918	14.269	13.336	12.888	14.87	14.44	13.126	12.403	1.644	-0.155	-	0.228	
F0	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.87	14.44	13.126	12.403	1.644	-0.155	-	0.228	
A0	K2	1100.0	0.8	14.918	14.269	13.336	12.888	14.439	14.288	13.198	12.61	1.411	-0.132	-	0.228	
K2	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.439	14.288	13.198	12.61	1.411	-0.132	-	0.228	
F0	F0	700.0	0.7	14.918	14.269	13.336	12.888	14.688	14.322	13.113	12.477	1.59	-0.258	-	0.229	
F0	F0	700.0	0.8	14.918	14.269	13.336	12.888	15.173	14.684	13.375	12.679	1.693	-0.266	-	0.229	
F0	F0	1100.0	0.5	14.918	14.269	13.336	12.888	14.699	14.576	13.567	13.053	1.388	-0.248	-	0.231	
F5	G0	700.0	0.5	14.918	14.269	13.336	12.888	15.096	14.737	13.563	12.962	1.584	-0.319	-	0.237	
G0	F5	700.0	0.5	14.918	14.269	13.336	12.888	15.096	14.737	13.563	12.962	1.584	-0.319	-	0.237	
F0	F5	700.0	0.6	14.918	14.269	13.336	12.888	14.565	14.264	13.113	12.515	1.536	-0.265	-	0.239	
F5	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.565	14.264	13.113	12.515	1.536	-0.265	-	0.239	
F0	F5	1000.0	0.5	14.918	14.269	13.336	12.888	14.854	14.674	13.624	13.086	1.435	-0.261	-	0.239	
F5	F0	1000.0	0.5	14.918	14.269	13.336	12.888	14.854	14.674	13.624	13.086	1.435	-0.261	-	0.239	
B8	F0	1100.0	1.1	14.918	14.269	13.336	12.888	14.8	14.431	13.136	12.411	1.593	-0.087	-	0.239	
F0	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.8	14.431	13.136	12.411	1.593	-0.087	-	0.239	
F5	M0	600.0	0.5	14.918	14.269	13.336	12.888	15.042	14.733	13.592	13.006	1.542	-0.298	-	0.24	
M0	F5	600.0	0.5	14.918	14.269	13.336	12.888	15.042	14.733	13.592	13.006	1.542	-0.298	-	0.24	
F0	K5	800.0	0.5	14.918	14.269	13.336	12.888	14.753	14.62	13.598	13.072	1.396	-0.236	-	0.24	
K5	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.753	14.62	13.598	13.072	1.396	-0.236	-	0.24	
F0	F0	800.0	0.6	14.918	14.269	13.336	12.888	14.493	14.249	13.14	12.564	1.488	-0.252	-	0.242	
F0	F0	1000.0	0.6	14.918	14.269	13.336	12.888	14.977	14.733	13.624	13.049	1.488	-0.252	-	0.243	
A0	G0	1100.0	0.8	14.918	14.269	13.336	12.888	14.428	14.266	13.165	12.571	1.42	-0.128	-	0.245	
G0	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.428	14.266	13.165	12.571	1.42	-0.128	-	0.245	
A0	F5	1000.0	1.0	14.918	14.269	13.336	12.888	15.158	14.736	13.426	12.704	1.637	-0.147	-	0.245	
F5	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.158	14.736	13.426	12.704	1.637	-0.147	-	0.245	
F0	G0	900.0	0.5	14.918	14.269	13.336	12.888	14.884	14.705	13.648	13.103	1.434	-0.245	-	0.249	
G0	F0	900.0	0.5	14.918	14.269	13.336	12.888	14.884	14.705	13.648	13.103	1.434	-0.245	-	0.249	
B8	M4	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.324	13.151	12.502	1.469	-0.082	-	0.25	
M4	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.324	13.151	12.502	1.469	-0.082	-	0.25	
F0	F0	600.0	0.8	14.918	14.269	13.336	12.888	14.838	14.349	13.041	12.344	1.693	-0.266	-	0.25	
B8	M2	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.324	13.151	12.502	1.469	-0.082	-	0.25	
M2	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.324	13.151	12.502	1.469	-0.082	-	0.25	
B8	M0	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.324	13.15	12.5	1.469	-0.081	-	0.25	
M0	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.324	13.15	12.5	1.469	-0.081	-	0.25	
F0	F5	600.0	0.8	14.918	14.269	13.336	12.888	15.2	14.653	13.303	12.584	1.741	-0.281	-	0.251	
F5	F0	600.0	0.8	14.918	14.269	13.336	12.888	15.2	14.653	13.303	12.584	1.741	-0.281	-	0.251	
B8	K5	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.323	13.149	12.498	1.47	-0.08	-	0.251	
K5	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.545	14.323	13.149	12.498	1.47	-0.08	-	0.251	
F0	M0	800.0	0.5	14.918	14.269	13.336	12.888	14.758	14.631	13.615	13.094	1.391	-0.239	-	0.252	
M0	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.758	14.631	13.615	13.094	1.391	-0.239	-	0.252	
B8	K2	1200.0	1.0	14.918	14.269	13.336	12.888	14.544	14.321	13.145	12.494	1.471	-0.079	-	0.253	
K2	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.544	14.321	13.145	12.494	1.471	-0.079	-	0.253	
F5	M2	600.0	0.5	14.918	14.269	13.336	12.888	15.045	14.742	13.61	13.03	1.537	-0.304	-	0.254	
M2	F5	600.0	0.5	14.918	14.269	13.336	12.888	15.045	14.742	13.61	13.03	1.537	-0.304	-	0.254	
B8	B8	1300.0	1.2	14.918	14.269	13.336	12.888	14.937	14.468	13.097	12.326	1.676	-0.101	-	0.255	
B8	M4	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.651	13.28	12.509	1.676	-0.101	-	0.255	
M4	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.651	13.28	12.509	1.676	-0.101	-	0.255	
B8	M2	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.651	13.28	12.508	1.676	-0.101	-	0.255	
M2	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.651	13.28	12.508	1.676	-0.101	-	0.255	
B8	M0	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.65	13.279	12.507	1.676	-0.1	-	0.255	
M0	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.65	13.279	12.507	1.676	-0.1	-	0.255	
B8	K5	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.65	13.278	12.504	1.677	-0.099	-	0.256	
K5	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.12	14.65	13.278	12.504	1.677	-0.099	-	0.256	
F0	F5	600.0	0.7	14.918	14.269	13.336	12.888	14.715	14.292	13.041	12.382	1.638	-0.272	-	0.257	
F5	F0	600.0	0.7	14.918	14.269	13.336	12.888	14.715	14.292	13.041	12.382	1.638	-0.272	-	0.257	
B8	K2	1000.0	1.2	14.918	14.269	13.336	12.888	15.119	14.648	13.274	12.5	1.678	-0.098	-	0.257	
K2	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.119	14.648	13.274	12.5	1.678	-0.098	-	0.257	
F5	M4	600.0	0.5	14.918	14.269	13.336	12.888	15.046	14.744	13.614	13.038	1.536	-0.308	-	0.258	
M4	F5	600.0	0.5	14.918	14.269	13.336	12.888	15.046	14.744	13.614	13.038	1.536	-0.308	-	0.258	
F0	M2	800.0	0.5	14.918	14.269	13.336	12.888	14.76	14.636	13.626	13.108	1.388	-0.245	-	0.259	
M2	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.76	14.636	13.626	13.108	1.388	-0.245	-	0.259	
F5	G0	600.0	0.6	14.918	14.269	13.336	12.888	15.246	14.765	13.491	12.83	1.686	-0.326	-	0.259	
G0	F5	600.0	0.6	14.918	14.269	13.336	12.888	15.246	14.765	13.491	12.83	1.686	-0.326	-	0.259	
F5	F5	600.0	0.7	14.918	14.269	13.336	12.888	15.263	14.717	13.388	12.691	1.74	-0.323	-	0.26	
F0	M4	800.0	0.5	14.918	14.269	13.336	12.888	14.76	14.637	13.628	13.113	1.388	-0.247	-	0.261	
M4	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.76	14.637	13.628	13.113	1.388	-0.247	-	0.261	
A0	F0	1000.0	0.9	14.918	14.269	13.336	12.888	14.614	14.307	13.092	12.431	1.541	-0.146	-	0.261	
F0	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.614	14.307	13.092	12.431	1.541	-0.146	-	0.261	
B8	G0	1200.0	1.0	14.918	14.269	13.336	12.888	14.539	14.311	13.129	12.473	1.475	-0.075	-	0.261	
G0	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.539	14.311	13.129	12.473	1.475	-0.075	-	0.261	
B8	F0	1300.0	1.1	14.918	14.269	13.336	12.888	15.163	14.793	13.499	12.774	1.593	-0.087	-	0.261	
F0	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.163	14.793	13.499	12.774	1.593	-0.087	-	0.261	
A0	F5	1300.0	0.7	14.918	14.269	13.336	12.888	14.272	14.218	13.207	12.668	1.33	-0.127	-	0.262	
F5	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.272	14.218	13.207	12.668	1.33	-0.127	-	0.262	
B8	G0	1000.0	1.2	14.918	14.269	13.336	12.888	15.114	14.638	13.258	12.479	1.682	-0.095	-	0.263	
G0	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.114	14.638	13.258	12.479	1.682	-0.095	-	0.263	
A0	G0	1000.0	1.0	14.918	14.269	13.336	12.888	15.191	14.784	13.484	12.767	1.625	-0.143	-	0.264	
G0	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.191	14.784	13.484	12.767	1.625	-0.143	-	0.264	
B8	M4	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.422	13.052	12.28	1.676	-0.101	-	0.268	
M4	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.422	13.052	12.28	1.676	-0.101	-	0.268	
B8	M2	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.422	13.051	12.279	1.676	-0.101	-	0.268	
M2	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.422	13.051	12.279	1.676	-0.101	-	0.268	
B8	M0	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.422	13.05	12.278	1.676	-0.1	-	0.269	
M0	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.422	13.05	12.278	1.676	-0.1	-	0.269	
B8	K5	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.421	13.049	12.276	1.677	-0.099	-	0.27	
K5	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.891	14.421	13.049	12.276	1.677	-0.099	-	0.27	
B8	F5	1000.0	1.2	14.918	14.269	13.336	12.888	15.102	14.616	13.229	12.445	1.69	-0.095	-	0.27	
F5	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.102	14.616	13.229	12.445	1.69	-0.095	-	0.27	
A0	A0	1300.0	0.9	14.918	14.269	13.336	12.888	14.538	14.268	13.084	12.44	1.51	-0.143	-	0.27	
A0	K2	1000.0	1.0	14.918	14.269	13.336	12.888	15.203	14.806	13.517	12.807	1.616	-0.147	-	0.271	
K2	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.203	14.806	13.517	12.807	1.616	-0.147	-	0.271	
A0	A0	1000.0	1.1	14.918	14.269	13.336	12.888	14.938	14.421	13.039	12.273	1.716	-0.162	-	0.271	
A0	A0	1100.0	1.1	14.918	14.269	13.336	12.888	15.145	14.628	13.246	12.48	1.716	-0.162	-	0.271	
A0	M4	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.689	13.307	12.54	1.716	-0.162	-	0.271	
M4	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.689	13.307	12.54	1.716	-0.162	-	0.271	
B8	K2	900.0	1.2	14.918	14.269	13.336	12.888	14.89	14.419	13.045	12.271	1.678	-0.098	-	0.271	
K2	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.89	14.419	13.045	12.271	1.678	-0.098	-	0.271	
A0	M2	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.689	13.306	12.54	1.717	-0.161	-	0.271	
M2	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.689	13.306	12.54	1.717	-0.161	-	0.271	
A0	G0	1200.0	0.9	14.918	14.269	13.336	12.888	15.102	14.818	13.617	12.962	1.522	-0.135	-	0.272	
G0	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.102	14.818	13.617	12.962	1.522	-0.135	-	0.272	
A0	M4	700.0	1.1	14.918	14.269	13.336	12.888	14.917	14.399	13.017	12.251	1.716	-0.162	-	0.272	
M4	A0	700.0	1.1	14.918	14.269	13.336	12.888	14.917	14.399	13.017	12.251	1.716	-0.162	-	0.272	
A0	K5	1000.0	1.0	14.918	14.269	13.336	12.888	15.205	14.81	13.524	12.816	1.614	-0.148	-	0.272	
K5	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.205	14.81	13.524	12.816	1.614	-0.148	-	0.272	
A0	M4	1000.0	1.0	14.918	14.269	13.336	12.888	15.206	14.813	13.529	12.824	1.613	-0.151	-	0.272	
M4	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.206	14.813	13.529	12.824	1.613	-0.151	-	0.272	
A0	M2	700.0	1.1	14.918	14.269	13.336	12.888	14.916	14.399	13.016	12.25	1.717	-0.161	-	0.272	
M2	A0	700.0	1.1	14.918	14.269	13.336	12.888	14.916	14.399	13.016	12.25	1.717	-0.161	-	0.272	
A0	M2	1000.0	1.0	14.918	14.269	13.336	12.888	15.206	14.813	13.529	12.823	1.613	-0.151	-	0.272	
M2	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.206	14.813	13.529	12.823	1.613	-0.151	-	0.272	
A0	M0	1000.0	1.0	14.918	14.269	13.336	12.888	15.206	14.812	13.527	12.82	1.613	-0.149	-	0.272	
M0	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.206	14.812	13.527	12.82	1.613	-0.149	-	0.272	
A0	M0	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.688	13.305	12.537	1.717	-0.16	-	0.272	
M0	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.688	13.305	12.537	1.717	-0.16	-	0.272	
A0	M0	700.0	1.1	14.918	14.269	13.336	12.888	14.916	14.398	13.015	12.247	1.717	-0.16	-	0.273	
M0	A0	700.0	1.1	14.918	14.269	13.336	12.888	14.916	14.398	13.015	12.247	1.717	-0.16	-	0.273	
A0	K5	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.686	13.301	12.532	1.718	-0.158	-	0.274	
K5	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.206	14.686	13.301	12.532	1.718	-0.158	-	0.274	
A0	M4	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.328	13.045	12.339	1.613	-0.151	-	0.274	
M4	A0	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.328	13.045	12.339	1.613	-0.151	-	0.274	
A0	M2	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.328	13.044	12.339	1.613	-0.151	-	0.274	
M2	A0	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.328	13.044	12.339	1.613	-0.151	-	0.274	
B8	F5	1200.0	1.0	14.918	14.269	13.336	12.888	14.527	14.29	13.1	12.439	1.482	-0.075	-	0.274	
F5	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.527	14.29	13.1	12.439	1.482	-0.075	-	0.274	
B8	F5	1300.0	1.1	14.918	14.269	13.336	12.888	15.186	14.825	13.536	12.814	1.586	-0.084	-	0.275	
F5	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.186	14.825	13.536	12.814	1.586	-0.084	-	0.275	
A0	K5	700.0	1.1	14.918	14.269	13.336	12.888	14.916	14.396	13.011	12.242	1.718	-0.158	-	0.275	
K5	A0	700.0	1.1	14.918	14.269	13.336	12.888	14.916	14.396	13.011	12.242	1.718	-0.158	-	0.275	
A0	M0	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.327	13.042	12.336	1.613	-0.149	-	0.275	
M0	A0	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.327	13.042	12.336	1.613	-0.149	-	0.275	
B8	F0	1000.0	1.2	14.918	14.269	13.336	12.888	15.078	14.584	13.191	12.405	1.697	-0.098	-	0.276	
F0	B8	1000.0	1.2	14.918	14.269	13.336	12.888	15.078	14.584	13.191	12.405	1.697	-0.098	-	0.276	
A0	K2	800.0	1.1	14.918	14.269	13.336	12.888	15.204	14.682	13.295	12.524	1.72	-0.157	-	0.276	
K2	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.204	14.682	13.295	12.524	1.72	-0.157	-	0.276	
A0	K5	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.326	13.039	12.331	1.614	-0.148	-	0.277	
K5	A0	800.0	1.0	14.918	14.269	13.336	12.888	14.721	14.326	13.039	12.331	1.614	-0.148	-	0.277	
F0	F5	800.0	0.5	14.918	14.269	13.336	12.888	14.37	14.19	13.139	12.602	1.435	-0.261	-	0.278	
F5	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.37	14.19	13.139	12.602	1.435	-0.261	-	0.278	
A0	K2	700.0	1.1	14.918	14.269	13.336	12.888	14.914	14.392	13.005	12.234	1.72	-0.157	-	0.278	
K2	A0	700.0	1.1	14.918	14.269	13.336	12.888	14.914	14.392	13.005	12.234	1.72	-0.157	-	0.278	
B8	G0	900.0	1.2	14.918	14.269	13.336	12.888	14.886	14.409	13.029	12.25	1.682	-0.095	-	0.279	
G0	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.886	14.409	13.029	12.25	1.682	-0.095	-	0.279	
A0	K2	800.0	1.0	14.918	14.269	13.336	12.888	14.719	14.321	13.032	12.323	1.616	-0.147	-	0.28	
K2	A0	800.0	1.0	14.918	14.269	13.336	12.888	14.719	14.321	13.032	12.323	1.616	-0.147	-	0.28	
B8	G0	1300.0	1.1	14.918	14.269	13.336	12.888	15.199	14.847	13.565	12.848	1.578	-0.084	-	0.282	
G0	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.199	14.847	13.565	12.848	1.578	-0.084	-	0.282	
B8	K2	1300.0	1.1	14.918	14.269	13.336	12.888	15.203	14.857	13.582	12.869	1.574	-0.087	-	0.285	
K2	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.203	14.857	13.582	12.869	1.574	-0.087	-	0.285	
B8	M4	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.86	13.588	12.877	1.572	-0.09	-	0.285	
M4	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.86	13.588	12.877	1.572	-0.09	-	0.285	
B8	M2	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.86	13.588	12.877	1.572	-0.09	-	0.285	
M2	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.86	13.588	12.877	1.572	-0.09	-	0.285	
B8	K5	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.859	13.585	12.873	1.573	-0.088	-	0.285	
K5	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.859	13.585	12.873	1.573	-0.088	-	0.285	
B8	M0	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.86	13.587	12.875	1.572	-0.089	-	0.285	
M0	B8	1300.0	1.1	14.918	14.269	13.336	12.888	15.204	14.86	13.587	12.875	1.572	-0.089	-	0.285	
B5	M4	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.058	12.292	1.605	-0.023	-	0.285	
M4	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.058	12.292	1.605	-0.023	-	0.285	
B5	M2	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.057	12.291	1.605	-0.023	-	0.285	
M2	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.057	12.291	1.605	-0.023	-	0.285	
B5	M0	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.057	12.291	1.605	-0.023	-	0.285	
M0	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.057	12.291	1.605	-0.023	-	0.285	
B5	K5	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.057	12.29	1.605	-0.022	-	0.286	
K5	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.395	13.057	12.29	1.605	-0.022	-	0.286	
A0	G0	800.0	1.1	14.918	14.269	13.336	12.888	15.192	14.659	13.262	12.484	1.729	-0.154	-	0.286	
G0	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.192	14.659	13.262	12.484	1.729	-0.154	-	0.286	
B5	K2	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.394	13.055	12.288	1.605	-0.022	-	0.286	
K2	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.778	14.394	13.055	12.288	1.605	-0.022	-	0.286	
B8	A0	1100.0	1.2	14.918	14.269	13.336	12.888	14.979	14.459	13.054	12.263	1.718	-0.117	-	0.289	
B8	A0	1200.0	1.2	14.918	14.269	13.336	12.888	15.168	14.648	13.243	12.452	1.718	-0.117	-	0.289	
A0	B8	1100.0	1.2	14.918	14.269	13.336	12.888	14.979	14.459	13.054	12.263	1.718	-0.117	-	0.289	
A0	B8	1200.0	1.2	14.918	14.269	13.336	12.888	15.168	14.648	13.243	12.452	1.718	-0.117	-	0.289	
B5	G0	1300.0	1.3	14.918	14.269	13.336	12.888	14.777	14.391	13.049	12.279	1.607	-0.019	-	0.29	
G0	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.777	14.391	13.049	12.279	1.607	-0.019	-	0.29	
B8	F5	900.0	1.2	14.918	14.269	13.336	12.888	14.873	14.387	13.0	12.216	1.69	-0.095	-	0.293	
F5	B8	900.0	1.2	14.918	14.269	13.336	12.888	14.873	14.387	13.0	12.216	1.69	-0.095	-	0.293	
A0	G0	700.0	1.1	14.918	14.269	13.336	12.888	14.902	14.37	12.972	12.194	1.729	-0.154	-	0.294	
G0	A0	700.0	1.1	14.918	14.269	13.336	12.888	14.902	14.37	12.972	12.194	1.729	-0.154	-	0.294	
B5	F5	1300.0	1.3	14.918	14.269	13.336	12.888	14.773	14.383	13.038	12.265	1.61	-0.018	-	0.295	
F5	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.773	14.383	13.038	12.265	1.61	-0.018	-	0.295	
A0	F5	1100.0	0.8	14.918	14.269	13.336	12.888	14.395	14.219	13.108	12.508	1.431	-0.132	-	0.295	
F5	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.395	14.219	13.108	12.508	1.431	-0.132	-	0.295	
A0	G0	800.0	1.0	14.918	14.269	13.336	12.888	14.707	14.299	12.999	12.283	1.625	-0.143	-	0.296	
G0	A0	800.0	1.0	14.918	14.269	13.336	12.888	14.707	14.299	12.999	12.283	1.625	-0.143	-	0.296	
A0	F5	800.0	1.1	14.918	14.269	13.336	12.888	15.159	14.612	13.204	12.421	1.741	-0.158	-	0.296	
F5	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.159	14.612	13.204	12.421	1.741	-0.158	-	0.296	
B8	F0	1200.0	1.0	14.918	14.269	13.336	12.888	14.503	14.258	13.062	12.399	1.489	-0.079	-	0.297	
F0	B8	1200.0	1.0	14.918	14.269	13.336	12.888	14.503	14.258	13.062	12.399	1.489	-0.079	-	0.297	
A0	K2	1200.0	0.9	14.918	14.269	13.336	12.888	15.114	14.84	13.65	13.001	1.513	-0.138	-	0.299	
K2	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.114	14.84	13.65	13.001	1.513	-0.138	-	0.299	
A0	F0	800.0	1.1	14.918	14.269	13.336	12.888	15.1	14.544	13.132	12.349	1.748	-0.166	-	0.3	
F0	A0	800.0	1.1	14.918	14.269	13.336	12.888	15.1	14.544	13.132	12.349	1.748	-0.166	-	0.3	
B8	M4	1000.0	1.1	14.918	14.269	13.336	12.888	14.635	14.29	13.018	12.308	1.572	-0.09	-	0.301	
M4	B8	1000.0	1.1	14.918	14.269	13.336	12.888	14.635	14.29	13.018	12.308	1.572	-0.09	-	0.301	
B8	M2	1000.0	1.1	14.918	14.269	13.336	12.888	14.635	14.29	13.018	12.307	1.572	-0.09	-	0.301	
M2	B8	1000.0	1.1	14.918	14.269	13.336	12.888	14.635	14.29	13.018	12.307	1.572	-0.09	-	0.301	
B8	M0	1000.0	1.1	14.918	14.269	13.336	12.888	14.634	14.29	13.017	12.306	1.572	-0.089	-	0.301	
M0	B8	1000.0	1.1	14.918	14.269	13.336	12.888	14.634	14.29	13.017	12.306	1.572	-0.089	-	0.301	
B5	F0	1300.0	1.3	14.918	14.269	13.336	12.888	14.767	14.372	13.023	12.249	1.614	-0.018	-	0.302	
F0	B5	1300.0	1.3	14.918	14.269	13.336	12.888	14.767	14.372	13.023	12.249	1.614	-0.018	-	0.302	
B8	K5	1000.0	1.1	14.918	14.269	13.336	12.888	14.634	14.289	13.015	12.303	1.573	-0.088	-	0.302	
K5	B8	1000.0	1.1	14.918	14.269	13.336	12.888	14.634	14.289	13.015	12.303	1.573	-0.088	-	0.302	
B8	K2	1000.0	1.1	14.918	14.269	13.336	12.888	14.634	14.287	13.012	12.299	1.574	-0.087	-	0.304	
K2	B8	1000.0	1.1	14.918	14.269	13.336	12.888	14.634	14.287	13.012	12.299	1.574	-0.087	-	0.304	
A0	K5	1200.0	0.9	14.918	14.269	13.336	12.888	15.116	14.844	13.657	13.01	1.511	-0.139	-	0.304	
K5	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.116	14.844	13.657	13.01	1.511	-0.139	-	0.304	
F0	G0	800.0	0.6	14.918	14.269	13.336	12.888	15.113	14.813	13.655	13.051	1.535	-0.25	-	0.305	
G0	F0	800.0	0.6	14.918	14.269	13.336	12.888	15.113	14.813	13.655	13.051	1.535	-0.25	-	0.305	
F0	F0	600.0	0.9	14.918	14.269	13.336	12.888	15.323	14.709	13.303	12.545	1.796	-0.276	-	0.305	
A0	A0	1100.0	1.0	14.918	14.269	13.336	12.888	14.66	14.267	12.984	12.279	1.613	-0.151	-	0.305	
A0	M0	1200.0	0.9	14.918	14.269	13.336	12.888	15.116	14.846	13.66	13.015	1.51	-0.141	-	0.306	
M0	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.116	14.846	13.66	13.015	1.51	-0.141	-	0.306	
B8	F0	1100.0	1.2	14.918	14.269	13.336	12.888	15.285	14.791	13.398	12.612	1.697	-0.098	-	0.307	
F0	B8	1100.0	1.2	14.918	14.269	13.336	12.888	15.285	14.791	13.398	12.612	1.697	-0.098	-	0.307	
F0	F5	900.0	0.6	14.918	14.269	13.336	12.888	15.111	14.809	13.658	13.06	1.536	-0.265	-	0.307	
F5	F0	900.0	0.6	14.918	14.269	13.336	12.888	15.111	14.809	13.658	13.06	1.536	-0.265	-	0.307	
A0	M2	1200.0	0.9	14.918	14.269	13.336	12.888	15.116	14.847	13.662	13.017	1.51	-0.142	-	0.308	
M2	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.116	14.847	13.662	13.017	1.51	-0.142	-	0.308	
A0	M4	1200.0	0.9	14.918	14.269	13.336	12.888	15.117	14.847	13.663	13.018	1.51	-0.143	-	0.308	
